PointCloud,H1_Birth,H1_Death
Fp1_Col1_Fp1_Col2,17.4864502,21.8003006
Fp1_Col1_Fp1_Col2,17.35609055,17.54801178
Fp1_Col1_Fp1_Col2,17.23254585,17.31878281
Fp1_Col1_Fp1_Col2,16.91711617,20.16390991
Fp1_Col1_Fp1_Col2,16.90846443,18.21187401
Fp1_Col1_Fp1_Col2,16.63386726,19.96610641
Fp1_Col1_Fp1_Col2,16.49553299,22.98591042
Fp1_Col1_Fp1_Col2,16.44135857,21.32048798
Fp1_Col1_Fp1_Col2,16.38811684,24.48984146
Fp1_Col1_Fp1_Col2,16.35322762,27.81970978
Fp1_Col1_Fp1_Col2,16.16485023,16.44826698
Fp1_Col1_Fp1_Col2,16.11937141,28.03051376
Fp1_Col1_Fp1_Col2,16.02283669,16.18059349
Fp1_Col1_Fp1_Col2,15.90598106,18.40249825
Fp1_Col1_Fp1_Col2,15.73311615,30.01167297
Fp1_Col1_Fp1_Col2,15.71787643,19.13558578
Fp1_Col1_Fp1_Col2,15.64104939,18.31979179
Fp1_Col1_Fp1_Col2,15.63799953,20.15857124
Fp1_Col1_Fp1_Col2,15.51394939,17.84368706
Fp1_Col1_Fp1_Col2,15.45474243,20.13932419
Fp1_Col1_Fp1_Col2,15.44479656,15.5740757
Fp1_Col1_Fp1_Col2,15.37282658,16.46136856
Fp1_Col1_Fp1_Col2,15.36609459,19.97699928
Fp1_Col1_Fp1_Col2,15.36575222,15.58761311
Fp1_Col1_Fp1_Col2,15.35698128,17.76615715
Fp1_Col1_Fp1_Col2,15.3517704,16.74657059
Fp1_Col1_Fp1_Col2,15.19783211,19.6190033
Fp1_Col1_Fp1_Col2,15.17438221,15.59473705
Fp1_Col1_Fp1_Col2,14.97041321,23.17818832
Fp1_Col1_Fp1_Col2,14.91379642,20.19088554
Fp1_Col1_Fp1_Col2,14.863801,15.74279118
Fp1_Col1_Fp1_Col2,14.82614517,14.86084175
Fp1_Col1_Fp1_Col2,14.81450939,15.88733959
Fp1_Col1_Fp1_Col2,14.76959896,17.06877899
Fp1_Col1_Fp1_Col2,14.75398159,16.04456139
Fp1_Col1_Fp1_Col2,14.74545765,15.690979
Fp1_Col1_Fp1_Col2,14.62055492,17.48593712
Fp1_Col1_Fp1_Col2,14.61788559,15.03538322
Fp1_Col1_Fp1_Col2,14.42815304,15.46795464
Fp1_Col1_Fp1_Col2,14.42645264,16.48860931
Fp1_Col1_Fp1_Col2,14.18142891,27.42250633
Fp1_Col1_Fp1_Col2,14.17840385,17.34334564
Fp1_Col1_Fp1_Col2,14.11891556,17.56557846
Fp1_Col1_Fp1_Col2,13.9384346,14.10234928
Fp1_Col1_Fp1_Col2,13.79298782,16.2592144
Fp1_Col1_Fp1_Col2,13.73141479,16.59348679
Fp1_Col1_Fp1_Col2,13.56688499,14.67313671
Fp1_Col1_Fp1_Col2,13.47553158,14.00942898
Fp1_Col1_Fp1_Col2,13.43627357,17.42873383
Fp1_Col1_Fp1_Col2,13.3613081,15.4851923
Fp1_Col1_Fp1_Col2,13.33086967,14.14021778
Fp1_Col1_Fp1_Col2,13.31368923,16.67646027
Fp1_Col1_Fp1_Col2,13.2926693,14.17073345
Fp1_Col1_Fp1_Col2,13.21446228,16.07217216
Fp1_Col1_Fp1_Col2,12.98552513,16.00019455
Fp1_Col1_Fp1_Col2,12.9468565,14.17705154
Fp1_Col1_Fp1_Col2,12.90907001,13.8922596
Fp1_Col1_Fp1_Col2,12.84803963,16.88505363
Fp1_Col1_Fp1_Col2,12.80608273,13.04084969
Fp1_Col1_Fp1_Col2,12.75324249,14.1672802
Fp1_Col1_Fp1_Col2,12.700634,16.85583878
Fp1_Col1_Fp1_Col2,12.68020153,12.70017815
Fp1_Col1_Fp1_Col2,12.55404186,13.90081787
Fp1_Col1_Fp1_Col2,12.50631237,15.22181702
Fp1_Col1_Fp1_Col2,12.45637226,18.7256546
Fp1_Col1_Fp1_Col2,12.4448719,14.41554165
Fp1_Col1_Fp1_Col2,12.41826248,17.01252937
Fp1_Col1_Fp1_Col2,12.3368845,12.65252113
Fp1_Col1_Fp1_Col2,12.32814407,13.03594398
Fp1_Col1_Fp1_Col2,12.28438091,14.45065117
Fp1_Col1_Fp1_Col2,12.15959835,12.55653286
Fp1_Col1_Fp1_Col2,12.15559578,14.78052235
Fp1_Col1_Fp1_Col2,12.15359211,12.35725784
Fp1_Col1_Fp1_Col2,12.14635277,17.616642
Fp1_Col1_Fp1_Col2,12.10120583,13.81652832
Fp1_Col1_Fp1_Col2,12.06411076,14.38865662
Fp1_Col1_Fp1_Col2,12.05788803,12.09529305
Fp1_Col1_Fp1_Col2,12.0092802,14.59763145
Fp1_Col1_Fp1_Col2,11.89581966,13.28479671
Fp1_Col1_Fp1_Col2,11.88648033,14.13815689
Fp1_Col1_Fp1_Col2,11.7372942,16.21912575
Fp1_Col1_Fp1_Col2,11.71012402,13.62601185
Fp1_Col1_Fp1_Col2,11.64525127,16.22647285
Fp1_Col1_Fp1_Col2,11.61586571,12.5542202
Fp1_Col1_Fp1_Col2,11.59137154,11.77583313
Fp1_Col1_Fp1_Col2,11.52686977,14.28124046
Fp1_Col1_Fp1_Col2,11.43424225,13.91448402
Fp1_Col1_Fp1_Col2,11.39932632,12.47641277
Fp1_Col1_Fp1_Col2,11.3984642,13.00638771
Fp1_Col1_Fp1_Col2,11.38213921,12.92959309
